matrix shape,num tokens,SM count,milliseconds
4096 x 4096,16,16,0.0763712003827095
4096 x 4096,16,32,0.04520960077643395
4096 x 4096,16,48,0.035104000568389894
4096 x 4096,16,64,0.030854399874806406
4096 x 4096,16,96,0.024371199682354926
4096 x 4096,16,128,0.021779200062155724
4096 x 4096,16,132,0.02239360027015209
4096 x 4096,32,8,0.1419135957956314
4096 x 4096,32,16,0.07937919944524766
4096 x 4096,32,32,0.046271999925374986
4096 x 4096,32,48,0.03742079958319664
4096 x 4096,32,64,0.0292992003262043
4096 x 4096,32,96,0.029068800061941145
4096 x 4096,32,128,0.02056960016489029
4096 x 4096,32,132,0.02033280022442341
4096 x 4096,64,8,cublas error
4096 x 4096,64,16,0.08513280004262924
4096 x 4096,64,32,0.04871039986610413
4096 x 4096,64,48,0.037907200306653975
4096 x 4096,64,64,0.03527679890394211
4096 x 4096,64,96,0.02749439999461174
4096 x 4096,64,128,0.025574399903416634
4096 x 4096,64,132,0.02545280009508133
4096 x 4096,128,8,cublas error
4096 x 4096,128,16,0.07987199872732162
4096 x 4096,128,32,0.07980799973011017
4096 x 4096,128,48,0.05391359999775887
4096 x 4096,128,64,0.0412032000720501
4096 x 4096,128,96,0.028230399638414384
4096 x 4096,128,128,0.028307200223207474
4096 x 4096,128,132,0.028448000177741052
4096 x 4096,256,8,0.2115648001432419
4096 x 4096,256,16,0.13819519877433778
4096 x 4096,256,32,0.08186240196228027
4096 x 4096,256,48,0.06218879967927933
4096 x 4096,256,64,0.04997120052576065
4096 x 4096,256,96,0.04507519975304604
4096 x 4096,256,128,0.034176000952720643
4096 x 4096,256,132,0.03299200013279915
4096 x 4096,512,8,0.3608128011226654
4096 x 4096,512,16,0.22803840339183806
4096 x 4096,512,32,0.13443839848041533
4096 x 4096,512,48,0.09871360063552856
4096 x 4096,512,64,0.07617279887199402
4096 x 4096,512,96,0.06529280096292496
4096 x 4096,512,128,0.04617599919438362
4096 x 4096,512,132,0.0439423993229866
4096 x 4096,1024,8,0.6558143973350525
4096 x 4096,1024,16,0.3556544005870819
4096 x 4096,1024,32,0.19045119881629943
4096 x 4096,1024,48,0.1411520004272461
4096 x 4096,1024,64,0.10390399992465973
4096 x 4096,1024,96,0.10049279928207397
4096 x 4096,1024,128,0.05948159992694855
4096 x 4096,1024,132,0.059756800532341
4096 x 4096,2048,8,1.2415104150772094
4096 x 4096,2048,16,0.6436351895332336
4096 x 4096,2048,32,0.3456191956996918
4096 x 4096,2048,48,0.24481279850006105
4096 x 4096,2048,64,0.19444480240345002
4096 x 4096,2048,96,0.15172479748725892
4096 x 4096,2048,128,0.1350080043077469
4096 x 4096,2048,132,0.11654400080442429
4096 x 4096,4096,8,2.3687871932983398
4096 x 4096,4096,16,1.2153920173645019
4096 x 4096,4096,32,0.8079616069793701
4096 x 4096,4096,48,0.4961215972900391
4096 x 4096,4096,64,0.3884928047657013
4096 x 4096,4096,96,0.26445440053939817
4096 x 4096,4096,128,0.20028799772262573
4096 x 4096,4096,132,0.20044800043106079
4096 x 4096,8192,8,cublas error
4096 x 4096,8192,16,2.344748830795288
4096 x 4096,8192,32,2.3447103977203367
4096 x 4096,8192,48,1.201587176322937
4096 x 4096,8192,64,0.8303039908409119
4096 x 4096,8192,96,0.5184895992279053
4096 x 4096,8192,128,0.385887998342514
4096 x 4096,8192,132,0.385561603307724
4096 x 4096,16384,8,cublas error
4096 x 4096,16384,16,4.772147178649902
4096 x 4096,16384,32,4.729811191558838
4096 x 4096,16384,48,2.3897727966308593
4096 x 4096,16384,64,1.6080384016036988
4096 x 4096,16384,96,0.9948863863945008
4096 x 4096,16384,128,0.7392128229141235
4096 x 4096,16384,132,0.7395391941070557
4096 x 4096,32768,8,18.794848251342774
4096 x 4096,32768,16,9.237875175476074
4096 x 4096,32768,32,6.124108791351318
4096 x 4096,32768,48,3.6798080444335937
4096 x 4096,32768,64,2.6657151699066164
4096 x 4096,32768,96,1.7442303895950317
4096 x 4096,32768,128,1.4244799852371215
4096 x 4096,32768,132,1.5243263959884643
4096 x 4096,65536,8,cublas error
4096 x 4096,65536,16,19.11631965637207
4096 x 4096,65536,32,18.29990425109863
4096 x 4096,65536,48,9.061702346801757
4096 x 4096,65536,64,6.062944030761718
4096 x 4096,65536,96,3.689235210418701
4096 x 4096,65536,128,3.1301568031311033
4096 x 4096,65536,132,3.212492799758911
4096 x 4096,131072,8,cublas error
4096 x 4096,131072,16,36.42105560302734
4096 x 4096,131072,32,36.0659782409668
4096 x 4096,131072,48,18.0692928314209
4096 x 4096,131072,64,12.072224044799805
4096 x 4096,131072,96,7.7920831680297855
4096 x 4096,131072,128,6.053248023986816
4096 x 4096,131072,132,6.318297576904297
4096 x 28672,1,8,cublas error
4096 x 28672,1,16,0.2729472041130066
4096 x 28672,1,32,0.27478399872779846
4096 x 28672,1,48,0.1637695997953415
4096 x 28672,1,64,0.13031679689884185
4096 x 28672,1,96,0.11856639832258224
4096 x 28672,1,128,0.09527039974927902
4096 x 28672,1,132,0.09470079988241195
4096 x 28672,2,8,0.3824191987514496
4096 x 28672,2,16,0.27617279887199403
4096 x 28672,2,32,0.19112319946289064
4096 x 28672,2,48,0.12808959782123566
4096 x 28672,2,64,0.10630400031805039
4096 x 28672,2,96,0.1009088009595871
4096 x 28672,2,128,0.09223040044307709
4096 x 28672,2,132,0.09140480011701584
4096 x 28672,4,8,0.34842880368232726
4096 x 28672,4,16,0.2665471971035004
4096 x 28672,4,32,0.18192000091075897
4096 x 28672,4,48,0.1246848002076149
4096 x 28672,4,64,0.1032831996679306
4096 x 28672,4,96,0.09988479912281037
4096 x 28672,4,128,0.09038719981908798
4096 x 28672,4,132,0.09068159908056259
4096 x 28672,8,8,0.3485439956188202
4096 x 28672,8,16,0.2665471971035004
4096 x 28672,8,32,0.18234239816665648
4096 x 28672,8,48,0.1237632006406784
4096 x 28672,8,64,0.10369279831647873
4096 x 28672,8,96,0.09991680085659027
4096 x 28672,8,128,0.09222400039434434
4096 x 28672,8,132,0.0912447988986969
4096 x 28672,16,8,0.34915840029716494
4096 x 28672,16,16,0.26455679535865784
4096 x 28672,16,32,0.17446400225162506
4096 x 28672,16,48,0.12394880056381226
4096 x 28672,16,64,0.10403200089931489
4096 x 28672,16,96,0.10058880001306533
4096 x 28672,16,128,0.09132799953222275
4096 x 28672,16,132,0.09173759818077087
4096 x 28672,32,8,0.3479103982448578
4096 x 28672,32,16,0.2689152002334595
4096 x 28672,32,32,0.1724480003118515
4096 x 28672,32,48,0.12444800138473511
4096 x 28672,32,64,0.1051008015871048
4096 x 28672,32,96,0.0996288001537323
4096 x 28672,32,128,0.09532160013914108
4096 x 28672,32,132,0.09591680020093918
4096 x 28672,64,8,0.356985604763031
4096 x 28672,64,16,0.3115648031234741
4096 x 28672,64,32,0.16855679750442504
4096 x 28672,64,48,0.13105280101299285
4096 x 28672,64,64,0.11557119786739349
4096 x 28672,64,96,0.10093439966440201
4096 x 28672,64,128,0.09596159905195237
4096 x 28672,64,132,0.09594880044460297
4096 x 28672,128,8,0.5974207997322083
4096 x 28672,128,16,0.31897600293159484
4096 x 28672,128,32,0.19994239807128905
4096 x 28672,128,48,0.15235839486122132
4096 x 28672,128,64,0.11427199989557266
4096 x 28672,128,96,0.11777920126914979
4096 x 28672,128,128,0.09819520115852357
4096 x 28672,128,132,0.09813760071992875
4096 x 28672,256,8,1.1155455827713012
4096 x 28672,256,16,0.5971776008605957
4096 x 28672,256,32,0.39299840331077573
4096 x 28672,256,48,0.25407999753952026
4096 x 28672,256,64,0.1986175984144211
4096 x 28672,256,96,0.1477952003479004
4096 x 28672,256,128,0.11598079949617386
4096 x 28672,256,132,0.11684480160474778
4096 x 28672,512,8,2.122265625
4096 x 28672,512,16,1.108185601234436
4096 x 28672,512,32,0.7309183955192566
4096 x 28672,512,48,0.4510079979896545
4096 x 28672,512,64,0.3509696006774902
4096 x 28672,512,96,0.2530559957027435
4096 x 28672,512,128,0.20983040034770967
4096 x 28672,512,132,0.20885760188102723
4096 x 28672,1024,8,4.170476913452148
4096 x 28672,1024,16,2.147980833053589
4096 x 28672,1024,32,1.411513590812683
4096 x 28672,1024,48,0.857203197479248
4096 x 28672,1024,64,0.6513471961021423
4096 x 28672,1024,96,0.4620479941368103
4096 x 28672,1024,128,0.3862655937671661
4096 x 28672,1024,132,0.38228479623794553
4096 x 28672,2048,8,8.268588638305664
4096 x 28672,2048,16,4.2045183181762695
4096 x 28672,2048,32,2.7526528358459474
4096 x 28672,2048,48,1.6614144086837768
4096 x 28672,2048,64,1.230239987373352
4096 x 28672,2048,96,0.8044799923896789
4096 x 28672,2048,128,0.6329023957252502
4096 x 28672,2048,132,0.6335103988647461
4096 x 28672,4096,8,16.17796516418457
4096 x 28672,4096,16,8.053286170959472
4096 x 28672,4096,32,5.310598468780517
4096 x 28672,4096,48,3.1881151676177977
4096 x 28672,4096,64,2.313491153717041
4096 x 28672,4096,96,1.5381184101104737
4096 x 28672,4096,128,1.2499776124954223
4096 x 28672,4096,132,1.2858687877655028
4096 x 28672,8192,8,cublas error
4096 x 28672,8192,16,16.598995208740234
4096 x 28672,8192,32,16.002220916748048
4096 x 28672,8192,48,7.931577587127686
4096 x 28672,8192,64,5.305337619781494
4096 x 28672,8192,96,3.2278592109680178
4096 x 28672,8192,128,2.5328256130218505
4096 x 28672,8192,132,2.55128960609436
4096 x 28672,16384,8,cublas error
4096 x 28672,16384,16,32.33651847839356
4096 x 28672,16384,32,31.56807670593262
4096 x 28672,16384,48,15.820358657836914
4096 x 28672,16384,64,10.591558265686036
4096 x 28672,16384,96,6.6962495803833
4096 x 28672,16384,128,5.157747077941894
4096 x 28672,16384,132,5.8494336128234865
4096 x 28672,32768,8,cublas error
4096 x 28672,32768,16,63.75278091430664
4096 x 28672,32768,32,63.110591888427734
4096 x 28672,32768,48,31.600083541870116
4096 x 28672,32768,64,21.151826858520508
4096 x 28672,32768,96,13.91381778717041
4096 x 28672,32768,128,11.763980674743653
4096 x 28672,32768,132,11.207289695739746
4096 x 28672,65536,8,cublas error
4096 x 28672,65536,16,127.12666320800781
4096 x 28672,65536,32,126.15286407470703
4096 x 28672,65536,48,63.162783813476565
4096 x 28672,65536,64,42.73567352294922
4096 x 28672,65536,96,27.533433532714845
4096 x 28672,65536,128,22.989926528930663
4096 x 28672,65536,132,23.34950408935547
4096 x 28672,131072,8,503.06854858398435
4096 x 28672,131072,16,254.30903015136718
4096 x 28672,131072,32,168.9328826904297
4096 x 28672,131072,48,102.18186798095704
4096 x 28672,131072,64,73.66930541992187
4096 x 28672,131072,96,58.70383987426758
4096 x 28672,131072,128,46.41626815795898
4096 x 28672,131072,132,46.84876251220703
14336 x 4096,1,8,0.2721920073032379
14336 x 4096,1,16,0.18019840121269226
14336 x 4096,1,32,0.13027840256690978
14336 x 4096,1,48,0.09384960085153579
14336 x 4096,1,64,0.08399359881877899
14336 x 4096,1,96,0.06424960196018219
14336 x 4096,1,128,0.05504639968276024
14336 x 4096,1,132,0.0551999993622303
14336 x 4096,2,8,0.2529663980007172
14336 x 4096,2,16,0.1720447987318039
14336 x 4096,2,32,0.12346239984035492
14336 x 4096,2,48,0.09394559860229493
14336 x 4096,2,64,0.08449919819831848
14336 x 4096,2,96,0.06457599997520447
14336 x 4096,2,128,0.055180799961090085
14336 x 4096,2,132,0.05486719980835915
14336 x 4096,4,8,0.25308159589767454
14336 x 4096,4,16,0.1712127983570099
14336 x 4096,4,32,0.12341760098934174
14336 x 4096,4,48,0.09396480023860931
14336 x 4096,4,64,0.08459519892930985
14336 x 4096,4,96,0.06450560092926025
14336 x 4096,4,128,0.054713599383831024
14336 x 4096,4,132,0.053964799642562865
14336 x 4096,8,8,0.22185600101947783
14336 x 4096,8,16,0.15278080403804778
14336 x 4096,8,32,0.10973440110683441
14336 x 4096,8,48,0.08395520150661469
14336 x 4096,8,64,0.07601919919252395
14336 x 4096,8,96,0.05996159985661507
14336 x 4096,8,128,0.053779199719429016
14336 x 4096,8,132,0.05379839986562729
14336 x 4096,16,8,0.22220799922943116
14336 x 4096,16,16,0.15249280035495758
14336 x 4096,16,32,0.10972800105810165
14336 x 4096,16,48,0.08384639918804168
14336 x 4096,16,64,0.07642239779233932
14336 x 4096,16,96,0.058111999183893204
14336 x 4096,16,128,0.05433599948883057
14336 x 4096,16,132,0.0540415994822979
14336 x 4096,32,8,0.4093247950077057
14336 x 4096,32,16,0.21304959952831268
14336 x 4096,32,32,0.11379839777946472
14336 x 4096,32,48,0.08861439973115921
14336 x 4096,32,64,0.0641728013753891
14336 x 4096,32,96,0.06903039813041686
14336 x 4096,32,128,0.054387201368808744
14336 x 4096,32,132,0.05469439998269081
14336 x 4096,64,8,0.3697792053222656
14336 x 4096,64,16,0.19459199905395508
14336 x 4096,64,32,0.10623999983072281
14336 x 4096,64,48,0.08351999819278717
14336 x 4096,64,64,0.06629119962453842
14336 x 4096,64,96,0.0688384011387825
14336 x 4096,64,128,0.05660800039768219
14336 x 4096,64,132,0.055833599716424945
14336 x 4096,128,8,0.29580159187316896
14336 x 4096,128,16,0.16674560010433198
14336 x 4096,128,32,0.12666880190372468
14336 x 4096,128,48,0.09208319932222367
14336 x 4096,128,64,0.09376639872789383
14336 x 4096,128,96,0.0615616001188755
14336 x 4096,128,128,0.05932800024747849
14336 x 4096,128,132,0.05954559966921806
14336 x 4096,256,8,0.9538175940513611
14336 x 4096,256,16,0.35263359546661377
14336 x 4096,256,32,0.21632000207901
14336 x 4096,256,48,0.15020159780979156
14336 x 4096,256,64,0.15139199793338776
14336 x 4096,256,96,0.08458240032196045
14336 x 4096,256,128,0.08263680040836334
14336 x 4096,256,132,0.08297600001096725
14336 x 4096,512,8,1.0804159879684447
14336 x 4096,512,16,0.5718783974647522
14336 x 4096,512,32,0.31274240016937255
14336 x 4096,512,48,0.22831999957561494
14336 x 4096,512,64,0.16141440272331237
14336 x 4096,512,96,0.1602944016456604
14336 x 4096,512,128,0.09493119716644287
14336 x 4096,512,132,0.09132159948348999
14336 x 4096,1024,8,2.0905215740203857
14336 x 4096,1024,16,1.072704005241394
14336 x 4096,1024,32,0.5519999980926513
14336 x 4096,1024,48,0.41924479603767395
14336 x 4096,1024,64,0.29011839628219604
14336 x 4096,1024,96,0.2933952033519745
14336 x 4096,1024,128,0.16302720308303834
14336 x 4096,1024,132,0.1626943975687027
14336 x 4096,2048,8,4.206950378417969
14336 x 4096,2048,16,2.148524856567383
14336 x 4096,2048,32,1.0798847913742065
14336 x 4096,2048,48,0.8127552151679993
14336 x 4096,2048,64,0.555833613872528
14336 x 4096,2048,96,0.5594879984855652
14336 x 4096,2048,128,0.3072640001773834
14336 x 4096,2048,132,0.31185280680656435
14336 x 4096,4096,8,8.474764633178712
14336 x 4096,4096,16,4.303616046905518
14336 x 4096,4096,32,2.1943999767303466
14336 x 4096,4096,48,1.552243208885193
14336 x 4096,4096,64,1.1677120208740235
14336 x 4096,4096,96,0.8072512030601502
14336 x 4096,4096,128,0.7255039930343627
14336 x 4096,4096,132,0.6014912009239197
14336 x 4096,8192,8,16.889708709716796
14336 x 4096,8192,16,8.310796737670898
14336 x 4096,8192,32,4.221843242645264
14336 x 4096,8192,48,2.820460844039917
14336 x 4096,8192,64,2.1863872051239013
14336 x 4096,8192,96,1.6123775720596314
14336 x 4096,8192,128,1.3363712072372436
14336 x 4096,8192,132,1.2076735973358155
14336 x 4096,16384,8,32.871098327636716
14336 x 4096,16384,16,16.299609375
14336 x 4096,16384,32,8.199500846862794
14336 x 4096,16384,48,5.454323196411133
14336 x 4096,16384,64,4.2030847549438475
14336 x 4096,16384,96,3.0626879692077638
14336 x 4096,16384,128,2.5657599449157713
14336 x 4096,16384,132,2.7033920288085938
14336 x 4096,32768,8,63.95390090942383
14336 x 4096,32768,16,32.50010223388672
14336 x 4096,32768,32,16.2453311920166
14336 x 4096,32768,48,10.874099349975586
14336 x 4096,32768,64,8.584153747558593
14336 x 4096,32768,96,6.324185562133789
14336 x 4096,32768,128,5.010272026062012
14336 x 4096,32768,132,5.072057628631592
14336 x 4096,65536,8,127.341259765625
14336 x 4096,65536,16,64.6775619506836
14336 x 4096,65536,32,32.188550567626955
14336 x 4096,65536,48,21.595366287231446
14336 x 4096,65536,64,16.968301010131835
14336 x 4096,65536,96,14.046758460998536
14336 x 4096,65536,128,10.293971252441406
14336 x 4096,65536,132,10.530201530456543
14336 x 4096,131072,8,255.7657928466797
14336 x 4096,131072,16,129.8004364013672
14336 x 4096,131072,32,64.45263977050782
14336 x 4096,131072,48,43.564903259277344
14336 x 4096,131072,64,33.49714584350586
14336 x 4096,131072,96,31.419340133666992
14336 x 4096,131072,128,24.467967987060547
14336 x 4096,131072,132,21.988748931884764
4096 x 128256,1,8,1.7004672050476075
4096 x 128256,1,16,1.0929023981094361
4096 x 128256,1,32,0.6555328130722046
4096 x 128256,1,48,0.44788479804992676
4096 x 128256,1,64,0.3856511950492859
4096 x 128256,1,96,0.3658688008785248
4096 x 128256,1,128,0.34995200037956237
4096 x 128256,1,132,0.35009920597076416
4096 x 128256,2,8,1.4404288053512573
4096 x 128256,2,16,1.0881407976150512
4096 x 128256,2,32,0.6839103937149048
4096 x 128256,2,48,0.44934400320053103
4096 x 128256,2,64,0.38813439607620237
4096 x 128256,2,96,0.3661888003349304
4096 x 128256,2,128,0.35498239994049074
4096 x 128256,2,132,0.35488640069961547
4096 x 128256,4,8,1.299187183380127
4096 x 128256,4,16,1.0847872018814086
4096 x 128256,4,32,0.6673280119895935
4096 x 128256,4,48,0.4521087944507599
4096 x 128256,4,64,0.3858624041080475
4096 x 128256,4,96,0.36702719926834104
4096 x 128256,4,128,0.3543552041053772
4096 x 128256,4,132,0.35559679865837096
4096 x 128256,8,8,1.2364160060882567
4096 x 128256,8,16,1.0378559827804565
4096 x 128256,8,32,0.6531967997550965
4096 x 128256,8,48,0.4422912001609802
4096 x 128256,8,64,0.38687360286712646
4096 x 128256,8,96,0.3658880054950714
4096 x 128256,8,128,0.3613888084888458
4096 x 128256,8,132,0.36032000184059143
4096 x 128256,16,8,1.2395968198776246
4096 x 128256,16,16,1.0366400241851808
4096 x 128256,16,32,0.633017611503601
4096 x 128256,16,48,0.4452607989311218
4096 x 128256,16,64,0.3897343993186951
4096 x 128256,16,96,0.3638016045093536
4096 x 128256,16,128,0.3623872041702271
4096 x 128256,16,132,0.3621056079864502
4096 x 128256,32,8,2.4745279788970946
4096 x 128256,32,16,1.374169611930847
4096 x 128256,32,32,0.7133183956146241
4096 x 128256,32,48,0.5611071944236755
4096 x 128256,32,64,0.5321280002593994
4096 x 128256,32,96,0.4116223931312561
4096 x 128256,32,128,0.3800575971603394
4096 x 128256,32,132,0.37827839851379397
4096 x 128256,64,8,cublas error
4096 x 128256,64,16,1.1842688083648683
4096 x 128256,64,32,1.1975871801376343
4096 x 128256,64,48,0.6330623984336853
4096 x 128256,64,64,0.488428795337677
4096 x 128256,64,96,0.41148799657821655
4096 x 128256,64,128,0.3751423954963684
4096 x 128256,64,132,0.3739840030670166
4096 x 128256,128,8,cublas error
4096 x 128256,128,16,1.216486382484436
4096 x 128256,128,32,1.2078144073486328
4096 x 128256,128,48,0.6407359957695007
4096 x 128256,128,64,0.5056191921234131
4096 x 128256,128,96,0.41722880601882933
4096 x 128256,128,128,0.3837119996547699
4096 x 128256,128,132,0.3861120045185089
4096 x 128256,256,8,4.637305641174317
4096 x 128256,256,16,2.359340763092041
4096 x 128256,256,32,1.5620031595230102
4096 x 128256,256,48,0.9547263860702515
4096 x 128256,256,64,0.715552008152008
4096 x 128256,256,96,0.5280384063720703
4096 x 128256,256,128,0.44040959477424624
4096 x 128256,256,132,0.43659520149230957
4096 x 128256,512,8,9.159788894653321
4096 x 128256,512,16,4.644748783111572
4096 x 128256,512,32,3.0721856117248536
4096 x 128256,512,48,1.8463104009628295
4096 x 128256,512,64,1.3590143918991089
4096 x 128256,512,96,1.0071359872817993
4096 x 128256,512,128,0.8597632050514221
4096 x 128256,512,132,0.8600511908531189
4096 x 128256,1024,8,18.516115188598633
4096 x 128256,1024,16,9.078367996215821
4096 x 128256,1024,32,6.053536033630371
4096 x 128256,1024,48,3.6488192081451416
4096 x 128256,1024,64,2.6697919368743896
4096 x 128256,1024,96,1.9696704149246216
