batch size,context size,SM count,milliseconds
2,16384,48,0.10741760134696961
2,16384,64,0.08884479999542236
2,16384,96,0.09086720049381256
2,16384,128,0.06855679899454117
2,16384,132,0.06920320093631745
2,32768,8,0.868063998222351
2,32768,16,0.4564671993255615
2,32768,32,0.25692800283432005
2,32768,48,0.19785600304603576
2,32768,64,0.15162880420684816
2,32768,96,0.16007039844989776
2,32768,128,0.11143039911985397
2,32768,132,0.11214720010757447
4,8,8,0.02351999990642071
4,8,16,0.019296000152826308
4,8,32,0.01961599998176098
4,8,48,0.019072000309824942
4,8,64,0.01902719996869564
4,8,96,0.01911039985716343
4,8,128,0.01897599995136261
4,8,132,0.018668800219893457
4,1024,8,0.09754239916801452
4,1024,16,0.059756799787282947
4,1024,32,0.04170240014791489
4,1024,48,0.03644799962639809
4,1024,64,0.033350399881601336
4,1024,96,0.03089279979467392
4,1024,128,0.02637440003454685
4,1024,132,0.027104000002145766
4,2048,8,0.15254400074481964
4,2048,16,0.08861440122127533
4,2048,32,0.055462400615215304
4,2048,48,0.04584960117936134
4,2048,64,0.038918400555849074
4,2048,96,0.03841279968619347
4,2048,128,0.03007359988987446
4,2048,132,0.029209599643945695
4,4096,8,0.2536639988422394
4,4096,16,0.14218880236148834
4,4096,32,0.08781439960002899
4,4096,48,0.07139839977025986
4,4096,64,0.0587071992456913
4,4096,96,0.05338239967823029
4,4096,128,0.04675839990377426
4,4096,132,0.04690560027956962
4,8192,8,0.4579071938991547
4,8192,16,0.24709120094776155
4,8192,32,0.14778240025043488
4,8192,48,0.11502080112695694
4,8192,64,0.09098879992961884
4,8192,96,0.08045440018177033
4,8192,128,0.06853119879961014
4,8192,132,0.06838399916887283
4,16384,8,0.8647040009498597
4,16384,16,0.45420160293579104
4,16384,32,0.2527871996164322
4,16384,48,0.19824640154838563
4,16384,64,0.14916479885578154
4,16384,96,0.14598399996757508
4,16384,128,0.11044479757547379
4,16384,132,0.11000320017337799
4,32768,8,1.6947008132934571
4,32768,16,0.8701184034347534
4,32768,32,0.45240960121154783
4,32768,48,0.33434239625930784
4,32768,64,0.2695743978023529
4,32768,96,0.2820800065994263
4,32768,128,0.1955264002084732
4,32768,132,0.19322239756584167
8,8,8,0.03338880017399788
8,8,16,0.024089599773287774
8,8,32,0.019603199884295465
8,8,48,0.020480000227689744
8,8,64,0.01884160041809082
8,8,96,0.019033600017428397
8,8,128,0.018886400014162065
8,8,132,0.018860799819231035
8,1024,8,0.1558656007051468
8,1024,16,0.08983680009841918
8,1024,32,0.05543679893016815
8,1024,48,0.04705919995903969
8,1024,64,0.038656000047922134
8,1024,96,0.03715839982032776
8,1024,128,0.030265599489212036
8,1024,132,0.029664000123739244
8,2048,8,0.25689600110054017
8,2048,16,0.1414528012275696
8,2048,32,0.08213759958744049
8,2048,48,0.06766079962253571
8,2048,64,0.05416319966316223
8,2048,96,0.053593600541353224
8,2048,128,0.04543999955058098
8,2048,132,0.04577920064330101
8,4096,8,0.4609344005584717
8,4096,16,0.2436928004026413
8,4096,32,0.13359359800815582
8,4096,48,0.10643199980258941
8,4096,64,0.08061440140008927
8,4096,96,0.08248960077762604
8,4096,128,0.06681599915027618
8,4096,132,0.0656128004193306
8,8192,8,0.870092797279358
8,8192,16,0.45059199929237365
8,8192,32,0.2377599984407425
8,8192,48,0.18529920279979706
8,8192,64,0.13379200100898742
8,8192,96,0.1397696018218994
8,8192,128,0.10999679863452912
8,8192,132,0.10799360126256943
8,16384,8,1.6852223873138428
8,16384,16,0.859443187713623
8,16384,32,0.4421824038028717
8,16384,48,0.338617604970932
