num tokens,SM count,milliseconds
1,8,0.02038400024175644
1,16,0.019283199682831764
1,32,0.019308800250291823
1,48,0.019046400114893912
1,64,0.018739200383424758
1,96,0.019040000066161154
1,128,0.018656000122427942
1,132,0.018700800091028213
2,8,0.01945599988102913
2,16,0.019673600047826766
2,32,0.019782400131225585
2,48,0.019596800208091736
2,64,0.019232000038027764
2,96,0.019417599961161613
2,128,0.019251200184226037
2,132,0.019251199811697005
4,8,0.021241600066423415
4,16,0.020134400203824045
4,32,0.020115200057625772
4,48,0.020070400461554526
4,64,0.021747199818491936
4,96,0.01971840038895607
4,128,0.02003840059041977
4,132,0.019942399859428406
8,8,0.021958400309085847
8,16,0.02186879962682724
8,32,0.02170239984989166
8,48,0.022041599452495574
8,64,0.023788799718022346
8,96,0.021606399863958358
8,128,0.021401599794626237
8,132,0.021939199790358542
16,8,0.02842880003154278
16,16,0.024780800566077232
16,32,0.024403199926018714
16,48,0.024825599789619446
16,64,0.02456960007548332
16,96,0.02553600035607815
16,128,0.02451839968562126
16,132,0.02467840053141117
32,8,0.02983679957687855
32,16,0.02423040010035038
32,32,0.021171200275421142
32,48,0.021491200476884843
32,64,0.02004479952156544
32,96,0.0197759997099638
32,128,0.020160000026226043
32,132,0.019622399657964706
64,8,0.038617600500583646
64,16,0.02871679998934269
64,32,0.023468799889087677
64,48,0.022361600026488303
64,64,0.023027199879288675
64,96,0.020633599907159805
64,128,0.020160000398755075
64,132,0.02019200026988983
128,8,0.056339199841022494
128,16,0.03737599924206734
128,32,0.02839680053293705
128,48,0.02547200061380863
128,64,0.023897600173950196
128,96,0.02263680025935173
128,128,0.021785599738359453
128,132,0.02168320007622242
256,8,0.09166719913482665
256,16,0.056934399902820586
256,32,0.037990400195121767
256,48,0.031935999915003774
256,64,0.029855999723076822
256,96,0.02603520005941391
256,128,0.02478720024228096
256,132,0.02465919964015484
512,8,0.1628031998872757
512,16,0.09199360013008118
512,32,0.05747200027108192
512,48,0.04489599987864494
512,64,0.041484799981117246
512,96,0.03381120041012764
512,128,0.030931200087070464
512,132,0.03018240034580231
1024,8,0.3083712041378021
1024,16,0.16729599833488465
1024,32,0.09799040108919144
1024,48,0.07450879961252213
1024,64,0.06614399999380112
1024,96,0.0501568004488945
1024,128,0.04389759972691536
1024,132,0.042943999916315076
2048,8,0.6012032151222229
2048,16,0.31838080286979675
2048,32,0.18212479948997498
2048,48,0.1351295977830887
2048,64,0.12041599899530411
2048,96,0.08126720190048217
2048,128,0.07826559990644455
2048,132,0.07761279940605163
4096,8,1.1735936164855958
4096,16,0.6152447938919068
4096,32,0.34405760169029237
4096,48,0.25170559883117677
4096,64,0.2202432006597519
4096,96,0.14319999814033507
4096,128,0.13692159950733185
4096,132,0.13612160384654998
8192,8,2.327494430541992
8192,16,1.2118079900741576
8192,32,0.674342405796051
8192,48,0.48655360341072085
8192,64,0.4229119956493378
8192,96,0.2664448022842407
8192,128,0.2558719992637634
8192,132,0.2524544060230255
16384,8,4.65228157043457
16384,16,2.407033634185791
16384,32,1.352307176589966
16384,48,0.9440832018852234
16384,64,0.8585280060768128
16384,96,0.5131327986717225
16384,128,0.48886399865150454
16384,132,0.48510080575942993
32768,8,9.381548500061035
32768,16,4.829600048065186
32768,32,2.688736009597778
32768,48,1.8868288278579712
32768,64,1.7557120084762574
32768,96,1.0092416048049926
32768,128,0.9621439933776855
32768,132,0.9516608119010925
65536,8,18.83607635498047
65536,16,9.757126235961914
65536,32,5.419039916992188
65536,48,3.79073281288147
65536,64,3.54235520362854
65536,96,1.997772765159607
65536,128,1.9116351842880248
65536,132,1.9085760116577148
131072,8,37.97279434204101
131072,16,19.572550582885743
131072,32,11.34074878692627
131072,48,7.804953479766846
131072,64,7.118483161926269
131072,96,4.070464038848877
131072,128,3.955904006958008
131072,132,3.7963072299957275
