prefill size,SM count,milliseconds
8,8,0.04287359938025474
8,16,0.03131520003080368
8,32,0.02624640017747879
8,48,0.027628800272941588
8,64,0.025337599962949754
8,96,0.025651199743151665
8,128,0.025433599948883057
8,132,0.02579200007021427
1024,8,0.7810432076454162
1024,16,0.40220800042152405
1024,32,0.2136320024728775
1024,48,0.16472319960594178
1024,64,0.11761920005083085
1024,96,0.09562239944934844
1024,128,0.06968319863080978
1024,132,0.06922239959239959
2048,8,2.9789567947387696
2048,16,1.5039551973342895
2048,32,0.7664448022842407
2048,48,0.5343552112579346
2048,64,0.39605119824409485
2048,96,0.30527999997138977
2048,128,0.21516160070896148
2048,132,0.2147456020116806
4096,8,11.55329933166504
4096,16,5.7761791229248045
4096,32,2.8986688613891602
4096,48,2.0007999897003175
4096,64,1.4648063898086547
4096,96,1.0173248052597046
4096,128,0.7504895925521851
4096,132,0.7496895909309387
8192,8,44.59116821289062
8192,16,22.337094879150392
8192,32,11.173190116882324
8192,48,7.529510402679444
8192,64,5.618879890441894
8192,96,3.881785583496094
8192,128,2.8416895866394043
8192,132,2.828166437149048
16384,8,177.61797180175782
16384,16,89.25179443359374
16384,32,44.59737014770508
16384,48,29.826342010498045
16384,64,22.362924575805664
16384,96,15.094278335571289
16384,128,11.441107368469238
16384,132,11.794688034057618
32768,8,708.9428100585938
32768,16,356.2113830566406
32768,32,177.6899841308594
32768,48,118.92782592773438
32768,64,89.40430145263672
32768,96,60.08661727905273
32768,128,47.216748809814455
32768,132,50.376895904541016
