num tokens,SM count,milliseconds
1,8,0.11622399836778641
1,16,0.09024639874696731
1,32,0.08565760105848312
1,48,0.08568319976329804
1,64,0.08661759942770005
1,96,0.08445440083742142
1,128,0.08671999871730804
1,132,0.08487679958343505
2,8,0.5345151901245118
2,16,0.11564799994230271
2,32,0.08001280128955841
2,48,0.07964800149202347
2,64,0.0784063994884491
2,96,0.0766975998878479
2,128,0.0755647987127304
2,132,0.07592319995164871
4,8,0.07737600058317184
4,16,0.07640319913625718
4,32,0.07773439884185791
4,48,0.07470720112323762
4,64,0.07374720126390458
4,96,0.07481600046157837
4,128,0.07292799800634384
4,132,0.07263359874486923
8,8,0.07309439927339553
8,16,0.07488639950752259
8,32,0.07522560060024261
8,48,0.07339520007371902
8,64,0.0740351989865303
8,96,0.07360000014305115
8,128,0.0728192001581192
8,132,0.07415039986371993
16,8,0.07360639870166778
16,16,0.07215999960899352
16,32,0.07461120039224625
16,48,0.07237759977579117
16,64,0.07295999974012375
16,96,0.07470079958438873
16,128,0.07500160038471222
16,132,0.07493759989738465
32,8,0.07260800153017044
32,16,0.07169280052185059
32,32,0.06975359916687011
32,48,0.0711359977722168
32,64,0.06967680007219315
32,96,0.06911360025405884
32,128,0.06873600035905839
32,132,0.06965760141611099
64,8,0.11543679982423782
64,16,0.06872320026159287
64,32,0.06692479997873306
64,48,0.06878080070018769
64,64,0.0683904007077217
64,96,0.06701439917087555
64,128,0.06702720075845718
64,132,0.0655359998345375
128,8,0.07612159848213196
128,16,0.0703359991312027
128,32,0.07122559994459152
128,48,0.06803200095891952
128,64,0.06726399958133697
128,96,0.067289599776268
128,128,0.06595840007066726
128,132,0.06782080084085465
256,8,0.08100480139255524
256,16,0.07287040054798126
256,32,0.06990719884634018
256,48,0.0692671999335289
256,64,0.0665472000837326
256,96,0.06854400038719177
256,128,0.06714239865541458
256,132,0.06725759953260421
512,8,0.09607040137052536
512,16,0.08278400152921676
512,32,0.07474559992551803
512,48,0.07177599966526031
512,64,0.07241600006818771
512,96,0.06899199932813645
512,128,0.0681536003947258
512,132,0.0720575988292694
1024,8,0.12467199862003327
1024,16,0.09790720045566559
1024,32,0.08247680068016053
1024,48,0.07646080106496811
1024,64,0.07448960095643997
1024,96,0.07386880069971084
1024,128,0.07303680181503296
1024,132,0.07233919948339462
2048,8,0.18531840145587922
2048,16,0.1305728018283844
2048,32,0.11994240134954452
2048,48,0.09447039812803268
2048,64,0.09189759939908981
2048,96,0.08985599875450134
2048,128,0.08834560066461564
2048,132,0.08988160043954849
4096,8,0.30848639607429507
4096,16,0.1907904028892517
4096,32,0.13013119697570802
4096,48,0.11471360176801682
4096,64,0.11135360151529312
4096,96,0.11205760091543197
4096,128,0.11077760010957718
4096,132,0.10979840159416199
8192,8,0.5434303879737854
8192,16,0.31090559959411623
8192,32,0.19210239946842195
8192,48,0.16323200166225432
8192,64,0.15568000078201294
8192,96,0.15476479828357698
8192,128,0.1547775983810425
8192,132,0.15710079967975615
16384,8,1.0222528219223022
16384,16,0.5557055950164795
16384,32,0.31296000480651853
16384,48,0.2572160005569458
16384,64,0.24466560184955596
16384,96,0.24637439846992493
16384,128,0.2436159998178482
16384,132,0.24368640184402465
32768,8,1.9800960063934325
32768,16,1.0401408195495605
32768,32,0.5567744016647339
32768,48,0.44602879881858826
32768,64,0.4191999971866608
32768,96,0.42101759314537046
32768,128,0.42374399304389954
32768,132,0.42471679449081423
65536,8,3.8869823932647707
65536,16,2.0093503475189207
65536,32,1.0462464332580566
65536,48,0.8231680035591126
65536,64,0.7725311994552613
65536,96,0.777670395374298
65536,128,0.7835904002189636
65536,132,1.2724224209785462
131072,8,7.715366363525391
131072,16,3.956172752380371
131072,32,2.028326416015625
131072,48,1.580780816078186
131072,64,1.4735872268676757
131072,96,1.4924288034439086
131072,128,1.5020479917526246
131072,132,1.5027968168258667
